Data;15861 - Taxa de inadimplência das operações de crédito do Sistema Financeiro Nacional - Acre - Pessoas físicas - %;15862 - Taxa de inadimplência das operações de crédito do Sistema Financeiro Nacional - Alagoas - Pessoas físicas - %;15863 - Taxa de inadimplência das operações de crédito do Sistema Financeiro Nacional - Amapá - Pessoas físicas - %;15864 - Taxa de inadimplência das operações de crédito do Sistema Financeiro Nacional - Amazonas - Pessoas físicas - %;15865 - Taxa de inadimplência das operações de crédito do Sistema Financeiro Nacional - Bahia - Pessoas físicas - %;15866 - Taxa de inadimplência das operações de crédito do Sistema Financeiro Nacional - Ceará - Pessoas físicas - %;15867 - Taxa de inadimplência das operações de crédito do Sistema Financeiro Nacional - Distrito Federal - Pessoas físicas - %;15868 - Taxa de inadimplência das operações de crédito do Sistema Financeiro Nacional - Espírito Santo - Pessoas físicas - %;15869 - Taxa de inadimplência das operações de crédito do Sistema Financeiro Nacional - Goiás - Pessoas físicas - %
06/2010;5,86 ;5,88 ;9,44 ;6,52 ;6,43 ;5,60 ;4,63 ;4,25 ;5,20
07/2010;5,89 ;5,78 ;9,51 ;6,45 ;7,75 ;5,59 ;4,48 ;4,21 ;5,08
08/2010;5,83 ;5,67 ;9,06 ;6,07 ;7,21 ;5,47 ;4,33 ;4,09 ;4,94
09/2010;5,57 ;5,59 ;8,76 ;5,89 ;7,01 ;5,22 ;4,23 ;3,97 ;4,76
10/2010;5,55 ;5,71 ;8,67 ;5,85 ;7,15 ;5,43 ;4,19 ;3,97 ;5,10
11/2010;5,24 ;5,36 ;7,89 ;5,66 ;6,77 ;5,34 ;4,05 ;3,86 ;4,58
12/2010;4,90 ;5,11 ;7,70 ;5,46 ;5,37 ;4,89 ;3,95 ;3,56 ;4,32
01/2011;4,91 ;5,10 ;7,94 ;5,52 ;5,40 ;5,07 ;4,04 ;3,64 ;4,33
02/2011;4,36 ;4,50 ;7,20 ;4,73 ;4,80 ;4,45 ;3,63 ;3,22 ;3,98
03/2011;4,50 ;4,57 ;7,22 ;4,83 ;4,86 ;4,56 ;3,67 ;3,31 ;4,04
04/2011;4,45 ;4,72 ;6,30 ;4,98 ;4,98 ;4,74 ;3,75 ;3,47 ;4,14
05/2011;4,76 ;4,77 ;6,50 ;5,24 ;4,98 ;4,92 ;3,86 ;3,56 ;4,19
06/2011;4,82 ;4,66 ;6,36 ;5,20 ;4,99 ;4,86 ;3,88 ;3,55 ;4,18
07/2011;5,04 ;4,82 ;6,44 ;5,34 ;5,08 ;5,02 ;3,95 ;3,56 ;4,26
08/2011;5,09 ;4,83 ;6,73 ;5,44 ;5,10 ;5,03 ;3,88 ;3,63 ;4,14
09/2011;5,19 ;4,96 ;6,99 ;5,56 ;5,12 ;5,10 ;3,97 ;3,67 ;4,27
10/2011;5,40 ;5,29 ;7,25 ;5,69 ;5,36 ;5,39 ;4,13 ;3,83 ;4,46
11/2011;6,20 ;5,92 ;8,41 ;6,49 ;6,01 ;6,04 ;4,52 ;4,31 ;4,84
12/2011;6,33 ;5,83 ;8,60 ;6,44 ;6,00 ;6,09 ;4,71 ;4,31 ;4,86
01/2012;5,65 ;5,35 ;7,05 ;5,89 ;5,50 ;5,41 ;4,35 ;4,22 ;4,79
02/2012;6,00 ;6,16 ;7,57 ;6,21 ;6,12 ;6,03 ;4,57 ;4,62 ;5,13
03/2012;5,99 ;6,12 ;7,57 ;6,09 ;6,02 ;6,03 ;4,48 ;4,55 ;5,10
04/2012;5,84 ;5,89 ;7,99 ;6,17 ;5,82 ;5,83 ;4,53 ;4,52 ;5,48
05/2012;5,80 ;5,97 ;7,87 ;6,31 ;5,89 ;5,95 ;4,57 ;4,60 ;5,62
06/2012;5,62 ;5,94 ;7,73 ;6,17 ;5,77 ;5,85 ;4,49 ;4,41 ;5,39
07/2012;5,58 ;6,09 ;7,58 ;6,07 ;5,79 ;5,86 ;4,43 ;4,31 ;5,39
08/2012;5,37 ;6,00 ;7,39 ;5,96 ;5,77 ;5,89 ;4,33 ;4,60 ;5,31
09/2012;5,26 ;6,04 ;7,20 ;5,78 ;5,66 ;6,00 ;4,22 ;4,14 ;5,29
10/2012;5,17 ;6,02 ;6,99 ;5,80 ;5,61 ;5,96 ;4,13 ;4,01 ;5,18
